"SKU","CostoProm","UltimoCosto","CostoMercadoLibre"
"27938","0","3594","3594"
"33073","0","11994","11994"
"4278-MAT","0","4745","4745"
"30293","0","3694","3694"
"21653","745","745","745"
"33210","0","10194","10194"
"27744","0","5037","5037"
"33400","0","4790","4790"
"30296","2770","2770","2770"
"30294","0","5038","5038"
"26034","0","24990","24990"
"23593","0","22790","22790"
"25997","0","22790","22790"
"21980","0","22790","22790"
"20998","4995","4995","4995"
"21000","0","9995","9995"
"26033","0","6990","6990"
"27443","0","5995","5995"
"27990","14990","14990","14990"
"30683","0","5394","5394"
"35133","0","7794","7794"
"27928-PARA","0","2936","2936"
"27928-VE","0","2936","2936"
"27932","0","2936","2936"
"26497","0","10915","10915"
"33526","0","12490","12490"
"13057","0","7794","7794"
"26786","5394","5394","5394"
"33555","0","9594","9594"
"33570","0","8990","8990"
"32028","0","4193","4193"
"35864","8994","8994","8994"
"32045","0","7794","7794"
"23778","0","1990","1990"
"26836","0","11994","11994"
"33584","9995","9995","9995"
"37102024","0","12469","12469"
"20201035-BK","0","11895","11895"
"OLIN060017NO","0","24990","24990"
"2020191299-BK","0","8550","8550"
"10101062-BK","0","10576","10576"
"TH-1407","0","28228","28228"
"TH-1415","0","31758","31758"
"TH-1870","0","49405","49405"
"2022061515-WH","0","15647","15647"
"17102025M-BK","0","4888","4888"
"17102025M-CR","0","4888","4888"
"17102025M-PU","0","4888","4888"
"17102025Q-BL","14088","14088","14088"
"4112025Q80-BK","4888","4888","4888"
"20201046-BK","0","8709","8709"
"20200931-BK","0","6878","6878"
"20200931-PI","0","6878","6878"
"20200931-RE","0","6878","6878"
"20200930-WH","0","8864","8864"
"20200929-BK","0","7556","7556"
"20200929-AZ","0","7556","7556"
"20200929-PI","0","7556","7556"
"20200929-WH","0","7556","7556"
"20200911-VE","0","6684","6684"
"20200911-WH","0","6684","6684"
"20200910-BL","0","6684","6684"
"20200910-VE","0","6684","6684"
"20201044-BK","0","10836","10836"
"20201044-WH","0","8991","8991"
"WI-C200-BK","0","0","0"
"WI-C200-WH","0","0","0"
"WI-C310-BL","0","0","0"
"2020191305-BL","0","22281","22281"
"2020191305-PI","0","22281","22281"
"2020191305-WH","0","22281","22281"
"WH-CH510-BL","0","24631","24631"
"WH-CH510-WH","0","24631","24631"
"WH-CH510-BK","0","24631","24631"
"MDR-AS210/YQLA-YE","0","5371","5371"
"MDR-AS210/YQLA-BL","0","5371","5371"
"MDR-AS210/YQLA-BK","0","5371","5371"
"MDR-EX15AP-WH","0","5371","5371"
"MDR-EX15AP-PU","0","5371","5371"
"MDR-EX15AP-BK","0","5371","5371"
"MDR-EX15LPBZUC-BL","0","4363","4363"
"MDR-EX15LPBZUC-PU","0","5454","5454"
"MDR-EX15LPBZUC-BK","0","5454","5454"
"MDRZX110-WH","0","7555","7555"
"MDRZX110-BK","0","7555","7555"
"MDRZX310APB-RE","0","9405","9405"
"MDRZX310APB-WHGY","0","9405","9405"
"MDRZX310APB-BK","0","9405","9405"
"20201025-BL","0","0","0"
"20201025-VE","0","8","8"
"20201025-RE","0","8652","8652"
"20201025-YE","0","10135","10135"
"20201020-BL","0","0","0"
"20201020-GR","0","14401","14401"
"20201020-RD","0","11282","11282"
"20201020-RE","0","10533","10533"
"4537-MAT","0","964","964"
"2022020914-WH","26771","26771","26771"
"20201024-PU","0","4471","4471"
"2022061505-BK","0","9042","9042"
"2022061505-GY","0","11059","11059"
"21907-MAT","0","13327","13327"
"10871-MAT3","0","3024","3024"
"10871-MAT1","0","3024","3024"
"10871-MAT2","0","3024","3024"
"21894-MAT","0","12115","12115"
"25812-MAT","0","13327","13327"
"23946-MAT2","0","9085","9085"
"23946-MAT1","0","9085","9085"
"22928-MAT","0","12115","12115"
"21895-MAT1","0","12115","12115"
"21895-MAT2","0","12115","12115"
"21895-MAT3","0","12115","12115"
"21895-MAT4","0","12115","12115"
"21895-MAT5","0","12115","12115"
"21915-MAT3","0","7267","7267"
"21915-MAT2","0","7267","7267"
"21915-MAT1","0","7267","7267"
"22932-MAT","0","12115","12115"
"20654-MAT","0","2600","2600"
"72409385607082","0","26990","26990"
"BL-3247","0","39389","39389"
"BL-3248","0","54035","54035"
"TH-870P","0","35120","35120"
"TH-8810M","0","8296","8296"
"TH-8830","0","11850","11850"
"TH-8845M","0","15960","15960"
"TH-910PB","0","69741","69741"
"2022033026-MC","0","1864","1864"
"2022033027-BK","0","2554","2554"
"2022033027-BR","2554","2554","2554"
"2022033027-CR","0","2554","2554"
"2022033027-MC","0","2662","2662"
"2022033027-PI","0","3411","3411"
"2022033027-SB","0","2554","2554"
"2022033025-MC","0","2119","2119"
"2022033028-BR","0","9052","9052"
"2022033030-MC","11182","11182","11182"
"2022033029-BR","0","8147","8147"
"2022061511-BK","0","3780","3780"
"2022061511-BR","0","4694","4694"
"2022061510-BLA","0","2248","2248"
"2022061510-BLU","0","2248","2248"
"2022061510-DBR","0","2248","2248"
"2022061510-LBR","0","2248","2248"
"2022061508-MC","0","5783","5783"
"2022260905-MC","0","11840","11840"
"2022260904-MC","21363","21363","21363"
"2022061509-MC","9984","9984","9984"
"2022260906-MC","0","34306","34306"
"66845326586170","12605","12605","12605"
"66845322105106","10084","10084","10084"
"BG-7566-GY","0","13464","13464"
"BG-7566-BK","0","13464","13464"
"2022053103-BK","0","4594","4594"
"2022053103-BL","0","4594","4594"
"2022053103-GR","4594","4594","4594"
"2022053103-KH","0","4594","4594"
"BG-2378-GY","0","19651","19651"
"BG-2378-BK","0","19651","19651"
"2022033018-MC","0","852","852"
"66845496249769","0","3782","3782"
"14082023-AN","0","18500","18500"
"11082023-EST","0","15398","15398"
"73437335531595","0","15000","15000"
"11082023-120W","0","32000","32000"
"11082023-200W","0","41000","41000"
"11082023-60W","0","23000","23000"
"11082023-90W","0","27000","27000"
"14082023-GUSO","0","7800","7800"
"73437330951791","0","6990","6990"
"14082023-LUHA","0","7800","7800"
"11082023-PR20","0","45000","45000"
"11082023-PR30","0","53000","53000"
"KH-644","0","5300","5300"
"KH-645","0","7700","7700"
"KHS-0007","0","2625","2625"
"KHS-0008","2775","2775","2775"
"020070603153","0","3375","3375"
"20070604153","3975","3975","3975"
"20070605011","0","5300","5300"
"20080601156","0","5100","5100"
"20080601005","0","5100","5100"
"20080601002","0","5100","5100"
"20080601134","0","0","0"
"20080601022","0","5100","5100"
"20080601161","0","5100","5100"
"20080602156","0","5400","5400"
"20080602005","0","5400","5400"
"20080602004","0","5400","5400"
"20080602134","0","5400","5400"
"20080603156","0","6300","6300"
"20080603005","0","6300","6300"
"20080603004","0","6300","6300"
"20080603134","0","6300","6300"
"20080604156","0","7200","7200"
"20080604005","0","7200","7200"
"20080604004","0","7200","7200"
"20080604134","0","7200","7200"
"2020191319-BL","5288","5288","5288"
"2022020906-WH","0","28059","28059"
"BH-1497","0","0","0"
"BH-6302","0","8561","8561"
"BH-6941","0","0","0"
"BH-6385","0","9591","9591"
"BH-6777","0","9591","9591"
