"Fecha creaci��n de la orden","Nombre del producto","N�� del orden","SKU vendedor","SKU Falabella","Id Art��culo","Falabella-Id","Estado de la orden","Fecha de Entrega","Tipo de transacci��n","Fecha de transacci��n","Divisa","Monto (Sin IVA)","IVA","Monto con IVA","Tipo de comisi��n","% comisi��n","Talla","Opscore","Estado de pago","N�� estado de cuenta","Referencia de pago Fpay","Comentarios","Tipo de env��o","Proveedor log��stico","Modalidad log��stica","Seller ID","Tipo de Seller","Tipo de Documento Tributario","  N�� Documento Tributario"," Categor��a de transacciones"
"2025-11-30 20:32:46","Plumón 1.5 Plazas Colo-Colo Vencedores","3215788472","826899","148640041","136592551","b67a5bfa-af5d-4469-bfa9-e439e891096b","entregada","2025-12-05 19:25:10","Cobro por cofinanciamiento logístico","2025-12-05","CLP","-6714.0","-1276.0","-7990.0","","","M","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Cofinanciamiento Logistico"
"2025-11-30 20:32:46","Plumón 1.5 Plazas Colo-Colo Vencedores","3215788472","826899","148640041","136592551","b67a5bfa-af5d-4469-bfa9-e439e891096b","entregada","2025-12-05 19:25:10","Cobro por comisión por venta","2025-12-05","CLP","-5376.0","-1022.0","-6398.0","commissionseller","0.2","","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Comisiones"
"2025-11-30 20:32:46","Plumón 1.5 Plazas Colo-Colo Vencedores","3215788472","826899","148640041","136592551","b67a5bfa-af5d-4469-bfa9-e439e891096b","entregada","2025-12-05 19:25:10","Reversa de pago de envío comprador","2025-12-05","CLP","-16798.0","-3192.0","-19990.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","A cargo de cliente"
"2025-11-30 20:32:46","Plumón 1.5 Plazas Colo-Colo Vencedores","3215788472","826899","148640041","136592551","b67a5bfa-af5d-4469-bfa9-e439e891096b","entregada","2025-12-05 19:25:10","Pago por precio del producto","2025-12-05","CLP","26884.0","5108.0","31992.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","Pesos"
"2025-11-30 20:32:46","Plumón 1.5 Plazas Colo-Colo Vencedores","3215788472","826899","148640041","136592551","b67a5bfa-af5d-4469-bfa9-e439e891096b","entregada","2025-12-05 19:25:10","Pago de envío comprador","2025-12-05","CLP","16798.0","3192.0","19990.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","A cargo de cliente"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931684","e6947f88-5197-4372-a553-ce920cee1e5b","entregada","2025-12-05 20:36:06","Cobro por cofinanciamiento logístico","2025-12-05","CLP","-1000.0","-190.0","-1190.0","","","XXS","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Cofinanciamiento Logistico"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931684","e6947f88-5197-4372-a553-ce920cee1e5b","entregada","2025-12-05 20:36:06","Cobro por comisión por venta","2025-12-05","CLP","-1071.0","-203.0","-1274.0","commissionseller","0.15","","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Comisiones"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931684","e6947f88-5197-4372-a553-ce920cee1e5b","entregada","2025-12-05 20:36:06","Pago de aporte promocionales a cliente (Promo)","2025-12-05","CLP","0.0","0.0","0.0","","","","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Cupones/Promociones"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931684","e6947f88-5197-4372-a553-ce920cee1e5b","entregada","2025-12-05 20:36:06","Reversa de pago de envío comprador","2025-12-05","CLP","0.0","0.0","0.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","A cargo de cliente"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931684","e6947f88-5197-4372-a553-ce920cee1e5b","entregada","2025-12-05 20:36:06","Pago por precio del producto","2025-12-05","CLP","7136.0","1356.0","8492.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","Pesos"
